author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/295467334/;Москва;sale;flat;5;10;2;106.2;70000000;Хамовники; Пречистенка;40/2С4;Парк Культуры;
Центр-Инвест;developer;https://www.cian.ru/sale/flat/298329420/;Москва;sale;flat;2;9;1;49.2;50910200;Таганский;Серебрянический переулок;6;Китай-город;Титул на Серебрянической
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/301365561/;Москва;sale;flat;7;78;2;95.0;60000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Level Group;developer;https://www.cian.ru/sale/flat/302621324/;Москва;sale;flat;2;64;2;34.9;;Хорошево-Мневники;;;Народное Ополчение;Левел Звенигородская ЖК
OPN PARTNER;real_estate_agent;https://www.cian.ru/sale/flat/303116228/;Москва;sale;flat;5;22;1;41.0;11200000;Бирюлево Восточное;6-я Радиальная ;7/1к2;Царицыно;Царицыно-2
РКС Девелопмент;developer;https://www.cian.ru/sale/flat/301447803/;Москва;sale;flat;2;16;2;55.54;21288482;Даниловский;Автозаводская ;24К1;Тульская;Дом на набережной INSIDER
Виктория Яковлева;realtor;https://www.cian.ru/sale/flat/304370442/;Москва;sale;flat;12;12;2;42.0;15690000;Бутырский; Яблочкова;41;Фонвизинская;
MR Group;developer;https://www.cian.ru/sale/flat/304434457/;Москва;sale;flat;9;21;2;39.44;14265342;Покровское-Стрешнево;Волоколамское шоссе;95/1к12;Трикотажная;City Bay
Екатерина Боброва;realtor;https://www.cian.ru/sale/flat/301486978/;Москва;sale;flat;4;5;2;45.0;15500000;Ростокино;проспект Мира;131;Улица Сергея Эйзенштейна;
3SGroup;developer;https://www.cian.ru/sale/flat/299381088/;Москва;sale;flat;4;17;2;49.5;11498837;;;;Корниловская;FOREVILLE
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/301968601/;Москва;sale;flat;2;6;1;44.3;20821000;Таганский;2-й Гончарный переулок;3;Таганская;
Hutton Development;developer;https://www.cian.ru/sale/flat/303631394/;Москва;sale;flat;5;17;1;50.3;35000000;Гагаринский;Ленинский проспект;38;Ленинский проспект;Lunar
Ирина Тарасова;realtor;https://www.cian.ru/sale/flat/304313517/;Москва;sale;flat;8;25;2;63.5;18400000;Очаково-Матвеевское;Большая Очаковская ;10к1;Аминьевская;
Группа Родина;developer;https://www.cian.ru/sale/flat/293200702/;Москва;sale;flat;11;13;2;47.0;14817000;; 1-я Ватутинская;12к2;Ольховая;Russian Design District
Антон Белов;realtor;https://www.cian.ru/sale/flat/297215041/;Москва;sale;flat;13;14;1;38.7;17990000;Таганский;переулок Ковров;1;Москва-Товарная;
КОРТРОС;developer;https://www.cian.ru/sale/flat/302789697/;Москва;sale;flat;34;49;1;38.28;18144720;Марьина роща;;;Марьина Роща;Тэйт ЖК
CROCUS ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/303790976/;Москва;sale;flat;13;32;2;77.0;36000000;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
Dominanta;developer;https://www.cian.ru/sale/flat/303673889/;Москва;sale;flat;18;34;1;33.6;22159200;Раменки;Потылиха кв-л;;;hideOUT
Анна Ларина;realtor;https://www.cian.ru/sale/flat/299413731/;Москва;sale;flat;7;10;1;38.6;11500000;;бульвар Андрея Тарковского;5;Рассказовка;Рассказово
Центр-Инвест;developer;https://www.cian.ru/sale/flat/299384199/;Москва;sale;flat;2;35;2;43.1;18070574;Левобережный;Фестивальная ;15к24/1;Речной вокзал;Фестиваль парк-2
ID 275244;realtor;https://www.cian.ru/sale/flat/295378049/;Москва;sale;flat;7;18;2;101.0;60000000;Якиманка; Шаболовка;10к1;Октябрьская;Созвездие Капитал-2
Capital Group;developer;https://www.cian.ru/sale/flat/301482951/;Москва;sale;flat;12;18;1;48.3;58149819;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/302397364/;Москва;sale;flat;9;11;2;83.3;37100000;Беговой;Ленинградский проспект;35С2;Петровский Парк;Квартал апартаментов Искра-Парк
VOS HOD;developer;https://www.cian.ru/sale/flat/300560437/;Москва;sale;flat;8;17;1;69.3;38918880;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303766765/;Москва;sale;flat;4;20;2;76.6;62046000;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
ФСК;developer;https://www.cian.ru/sale/flat/304258094/;Москва;sale;flat;2;29;2;46.3;20186800;Нагатино-Садовники;Варшавское шоссе;37Ак2;Нагатинская;Rotterdam
Estes;real_estate_agent;https://www.cian.ru/sale/flat/304519288/;Москва;sale;flat;4;21;1;45.0;27500000;Алексеевский;Новоалексеевская ;16к3;Алексеевская;Серебряный фонтан
Основа;developer;https://www.cian.ru/sale/flat/301042095/;Москва;sale;flat;3;20;1;36.75;12090750;Преображенское;Потешная ;;Преображенская площадь;EvoPark Сокольники
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/299250573/;Москва;sale;flat;4;22;2;55.0;42500000;Якиманка;Мытная ;40к1;Октябрьская;Sky House
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/296774064/;Москва;sale;flat;2;24;1;43.9;20014010;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/299252517/;Москва;sale;flat;3;14;2;61.1;19950000;Печатники;Южнопортовая ;28АС17;Кожуховская;Level Южнопортовая
Forma;developer;https://www.cian.ru/sale/flat/297983503/;Москва;sale;flat;10;29;1;39.0;19664580;Аэропорт;Часовая ;28к8;Сокол;SOUL
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/302332660/;Москва;sale;flat;11;13;2;83.0;43900000;Раменки;Винницкая ;8к2;Раменки;Настоящее
Донстрой;developer;https://www.cian.ru/sale/flat/304605655/;Москва;sale;flat;5;18;2;55.1;30354590;Хорошево-Мневники;проезд Проектируемый № 1074;;Терехово ;Остров
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/298140403/;Москва;sale;flat;25;49;2;93.6;41500000;Проспект Вернадского; Лобачевского;;Проспект Вернадского;Событие
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298496731/;Москва;sale;flat;14;19;1;29.0;16211000;Щукино; Ротмистрова;2;Октябрьское поле;Театральный квартал
Ксения Шахматова;realtor;https://www.cian.ru/sale/flat/303215920/;Москва;sale;flat;4;9;2;50.0;14900000;Очаково-Матвеевское;Большая Очаковская ;21;Очаково;
MR Group;developer;https://www.cian.ru/sale/flat/303227151/;Москва;sale;flat;14;30;1;37.6;18068648;Южнопортовый;Волгоградский проспект;32/5к2;Дубровка;Метрополия
ID 73528567;homeowner;https://www.cian.ru/sale/flat/303492918/;Москва;sale;flat;20;31;2;59.4;21990000;Ховрино;Клинская ;2Ак7;Грачёвская;мой адрес На Клинской
MR Group;developer;https://www.cian.ru/sale/flat/303786405/;Москва;sale;flat;12;39;1;33.69;14852731;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
Webster;real_estate_agent;https://www.cian.ru/sale/flat/304190769/;Москва;sale;flat;16;37;1;47.0;23000000;Западное Дегунино;Ильменский проезд;14к8;Селигерская;Селигер Сити
Минские холмы;developer;https://www.cian.ru/sale/flat/298045259/;Москва;sale;flat;8;52;2;53.8;21824030;Раменки;проспект Генерала Дорохова;вл1к1;Раменки;Will Towers
OPN PARTNER;real_estate_agent;https://www.cian.ru/sale/flat/303428116/;Москва;sale;flat;3;5;2;57.0;14200000;Можайский;Сколковское шоссе;7;Сетунь;
Level Group;developer;https://www.cian.ru/sale/flat/304449786/;Москва;sale;flat;24;26;2;41.8;;Нагатино-Садовники;Нагатинская набережная;10А;Нагатинская;Level Нагатинская
Дарья Проскуркина;realtor;https://www.cian.ru/sale/flat/303716320/;Москва;sale;flat;2;12;2;48.0;15850000;Царицыно;Севанская ;38;Царицыно;
СИТИ21;developer;https://www.cian.ru/sale/flat/301300201/;Москва;sale;flat;15;15;1;36.4;24504472;Останкинский;проспект Мира;95;Алексеевская;Hill8
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302818966/;Москва;sale;flat;4;4;2;75.7;39900000;Марьина роща;проезд 12-й Марьиной рощи;8С2;Марьина Роща;Лофт-квартал Studio #12
Level Group;developer;https://www.cian.ru/sale/flat/304073512/;Москва;sale;flat;2;48;2;35.4;;Очаково-Матвеевское;;к8;Аминьевская;Левел Мичуринский ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303762197/;Москва;sale;flat;8;19;2;60.0;33000000;"Стильный ""лофт"" в е Беговой2-комн. апартаменты";60 м²;;;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/300923063/;Москва;sale;flat;2;15;1;36.6;13995840;Головинский;Северный ао;;Коптево;Михалковский ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/303873158/;Москва;sale;flat;5;30;1;33.5;13500000;Покровское-Стрешнево;;;Трикотажная;Скай Гарден ЖК
Брусника;developer;https://www.cian.ru/sale/flat/303468634/;Москва;sale;flat;22;29;2;57.3;18090000;Нижегородский;;;Нижегородская;Квартал Издание ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/303583248/;Москва;sale;flat;22;45;2;77.1;32300000;Хорошево-Мневники; Шеногина;2;Шелепиха;
Forma;developer;https://www.cian.ru/sale/flat/300624465/;Москва;sale;flat;17;20;2;66.52;28830765;Даниловский;Автозаводская ;26;Тульская;FORST
MERSI;real_estate_agent;https://www.cian.ru/sale/flat/303071453/;Москва;sale;flat;10;23;1;35.4;9900000;Южнопортовый;Волгоградский проспект;30С1;Волгоградский проспект;HighWay
Центр-Инвест;representative_developer;https://www.cian.ru/sale/flat/298334392/;Москва;sale;flat;6;15;1;40.5;24502499;Раменки;Винницкая ;8к3;Раменки;Настоящее
City View;real_estate_agent;https://www.cian.ru/sale/flat/303780972/;Москва;sale;flat;39;44;2;69.4;48000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Level Group;developer;https://www.cian.ru/sale/flat/304530623/;Москва;sale;flat;2;11;2;31.5;;Хорошево-Мневники;Причальный проезд;10А;Шелепиха;Level Причальный
Александр Гуцул;realtor;https://www.cian.ru/sale/flat/304377643/;Москва;sale;flat;4;6;2;56.0;32000000;Пресненский;Малый Тишинский переулок;20;Белорусская;
Optima Development;developer;https://www.cian.ru/sale/flat/301041605/;Москва;sale;flat;2;41;2;48.5;33762426;Хорошевский;Ленинградский проспект;37/2;Петровский Парк;Прайм Парк
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/292414471/;Москва;sale;flat;3;20;2;64.0;38000000;Беговой;Бумажный проезд;4;Белорусская;Клубный дом SOHO+NOHO
Трансстройинвест;developer;https://www.cian.ru/sale/flat/303074070/;Москва;sale;flat;16;32;2;40.8;13984200;Рязанский;;;Стахановская;Проспект 39 ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303459806/;Москва;sale;flat;9;15;2;62.9;35500000;Раменки;Винницкая ;8к4;Раменки;Настоящее
Stenoy;developer;https://www.cian.ru/sale/flat/300878783/;Москва;sale;flat;2;12;2;60.1;25773224;Преображенское;Электрозаводская ;60;Преображенская площадь;ARTEL
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/298054081/;Москва;sale;flat;5;9;2;38.0;18500000;Даниловский;оч.3;оч.3;Технопарк;Шагал ЖК
AFI Development;developer;https://www.cian.ru/sale/flat/294550185/;Москва;sale;flat;15;25;2;47.6;25605040;Обручевский; Академика Челомея;1А;Воронцовская;AFI Park Воронцовский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303199166/;Москва;sale;flat;7;79;2;62.1;49680000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Основа;developer;https://www.cian.ru/sale/flat/287742395/;Москва;sale;flat;3;20;2;34.81;9416105;Северный;Новодачная ;67/68;Новодачная;ФизтехСити
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/297894351/;Москва;sale;flat;6;7;2;95.0;130000000;Хамовники; Льва Толстого;23к1;Парк Культуры;Литератор
Forma;developer;https://www.cian.ru/sale/flat/301354608/;Москва;sale;flat;8;25;1;40.7;21020410;Печатники;Южнопортовая ;;Печатники;Portland
ID 269655;realtor;https://www.cian.ru/sale/flat/299245726/;Москва;sale;flat;9;9;2;37.0;9299000;Кузьминки;Зеленодольская ;15К1;Кузьминки;
Колди;developer;https://www.cian.ru/sale/flat/304249322/;Москва;sale;flat;4;21;2;43.29;12125294;Нижегородский;;;Калитники;Н'айс Лофт ЖК
Trinity;real_estate_agent;https://www.cian.ru/sale/flat/304453190/;Москва;sale;flat;5;12;1;37.8;12300000;Царицыно; Бехтерева;43К2;Царицыно;
Мангазея;developer;https://www.cian.ru/sale/flat/304059411/;Москва;sale;flat;17;41;1;42.6;22543920;Даниловский;Большая Тульская ;10С5;Тульская;Мангазея на Тульской
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300553173/;Москва;sale;flat;2;14;2;69.9;35000000;Мещанский; Гиляровского;4К1;Сухаревская;
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/304095974/;Москва;sale;flat;19;50;1;39.7;22859260;Раменки;м. Мичуринский проспект;;Мичуринский проспект;Событие
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/303985617/;Москва;sale;flat;41;58;1;37.6;18400000;Хорошево-Мневники; Народного Ополчения;15К2;Народное Ополчение;Wellton Towers
Основа;developer;https://www.cian.ru/sale/flat/299250693/;Москва;sale;flat;11;29;1;30.1;12536650;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303160530/;Москва;sale;flat;7;21;2;73.0;88500000;Пресненский; Сергея Макеева;9к4;Улица 1905 года;RedSide
Level Group;developer;https://www.cian.ru/sale/flat/301557027/;Москва;sale;flat;14;31;1;33.9;;Западное Дегунино;Северный ао;к3;Верхние Лихоборы;Левел Селигерская ЖК
Мечты в квадрате;real_estate_agent;https://www.cian.ru/sale/flat/303753298/;Москва;sale;flat;7;9;2;66.3;42000000;Даниловский;проспект Лихачева;20;Технопарк;Nagatino i-Land
LEGENDA Intelligent Development;developer;https://www.cian.ru/sale/flat/302124517/;Москва;sale;flat;3;34;1;47.8;19320760;Левобережный;Ленинградское шоссе;;Беломорская;Северный порт. Береговые кварталы
Пионер;developer;https://www.cian.ru/sale/flat/301460277/;Москва;sale;flat;16;39;1;37.2;27751456;Даниловский;;;Павелецкая;Хай Лайф ЖК
ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/303155483/;Москва;sale;flat;3;7;2;80.0;29290000;Басманный;Нижняя Красносельская ;35С2;Бауманская;Kleinhouse
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/293510493/;Москва;sale;flat;8;22;2;87.2;38000000;Раменки; Пырьева;9К1;Поклонная;
Upside Development;developer;https://www.cian.ru/sale/flat/303215976/;Москва;sale;flat;12;12;1;58.7;38155000;Даниловский;2-я Рощинская ;1;Тульская;Данилов дом
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296403571/;Москва;sale;flat;4;8;2;65.0;42400000;Тверской;Благовещенский переулок;5;Маяковская;
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/300660827/;Москва;sale;flat;28;29;2;53.6;42800000;Якиманка;Мытная ;40к4;Октябрьская;Sky House
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300812063/;Москва;sale;flat;2;3;2;77.0;50000000;Хамовники;Саввинская набережная;5;Киевская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302543412/;Москва;sale;flat;8;9;2;71.3;60000000;Тверской;1-я Тверская-Ямская ;7;Маяковская;
Стоун Бридж эстейт;real_estate_agent;https://www.cian.ru/sale/flat/290075868/;Москва;sale;flat;2;16;1;49.3;60000000;Якиманка; Большая Якиманка;22К3;Полянка;Коперник
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/299008779/;Москва;sale;flat;12;28;2;121.68;63400000;Кунцево; Академика Павлова;28;Молодёжная;Академика Павлова
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/290532622/;Москва;sale;flat;3;7;2;112.0;85000000;Хамовники;Комсомольский проспект;42С2;Спортивная;Clerkenwell House
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/265196500/;Москва;sale;flat;4;7;2;66.1;87015900;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов 
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/295368581/;Москва;sale;flat;3;9;2;135.4;145000000;Якиманка; Малая Полянка;2;Полянка;Онегин
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/290697585/;Москва;sale;flat;3;9;2;148.5;230000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 96167522;realtor;https://www.cian.ru/sale/flat/301361857/;Москва;sale;flat;5;9;1;29.5;6688500;Люблино; Верхние Поля;27С2;Братиславская;
ID 96167522;realtor;https://www.cian.ru/sale/flat/296746930/;Москва;sale;flat;1;9;1;34.9;6854250;Люблино; Верхние Поля;27С2;Братиславская;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/292414373/;Москва;sale;flat;16;22;1;15.1;7450000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
ONE Company;real_estate_agent;https://www.cian.ru/sale/flat/301260654/;Москва;sale;flat;16;22;1;15.3;7450000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/301906475/;Москва;sale;flat;22;22;1;15.8;7890000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/295014010/;Москва;sale;flat;6;22;1;17.3;8590000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/300858701/;Москва;sale;flat;6;22;1;17.3;8590000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/296124514/;Москва;sale;flat;22;22;1;17.2;8780000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/294623881/;Москва;sale;flat;22;22;1;19.4;8880000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/300822403/;Москва;sale;flat;22;22;1;19.4;8880000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
